type	latitude	longitude	altitude (m)	name
T	-5.118154070	33.125828300	1267.4	latlongdata2
T	-9.395641520	34.770716690	2005.5	
T	-6.279268030	36.115055950	939.2	
T	-3.187554550	37.147432190	1625.9	
T	-6.099289490	36.164893410	922.1	
T	-6.972402730	39.286124410	74.7	
T	-3.852982710	33.229879700	1195.4	
T	-6.719257160	36.313618890	1783.4	
T	-6.014358200	35.939444830	1095.8	
T	-2.530703260	31.693371160	1177.6	
T	-5.805745510	38.663638970	91.4	
T	-3.373772390	36.756231020	1355.6	
T	-5.885572341	35.149669124	843.0	
T	-10.469638420	35.333713310	1049.2	
T	-3.276273580	36.624293100	1618.1	
T	-6.180817960	36.524299090	1128.0	
T	-10.569191710	39.734424610	280.4	
T	-4.540705140	29.901778700	1240.7	
T	-6.019760680	36.245205350	905.5	
T	-6.985841730	39.086182570	114.6	
T	-7.041150370	36.904463490	542.2	
T	-5.117747810	38.798178810	216.8	
T	-11.126490890	35.166288550	976.7	
T	-10.681306640	35.142487180	997.2	
T	-9.392807170	33.678668960	986.5	
T	-2.913727870	36.261567120	2131.3	
T	-11.009319600	37.236365470	623.8	
T	-3.565367210	32.202618880	1193.4	
T	-3.880661720	32.685457070	1223.8	
T	-10.849958360	38.622816640	328.8	
T	-10.574783080	38.810670020	329.1	
T	-3.492583080	35.622561490	1380.4	
T	-6.007378180	37.193190050	986.8	
T	-7.082957790	37.579078830	1633.4	
T	-6.903604660	39.228066290	40.0	
T	-4.113401100	37.705642030	822.9	
T	-2.068950070	32.984844210	1312.7	
T	-5.459400890	38.178901310	533.9	
T	-4.840223170	29.691716560	858.4	
T	-6.137492810	36.151646500	930.1	
T	-9.455156570	34.294702430	1684.7	
T	-3.291409730	37.427667070	1609.5	
T	-5.885572341	35.149669124	843.0	
T	-4.863061300	38.464680130	1257.6	
T	-10.530735810	34.921793090	882.1	
T	-1.828803300	34.604652220	1522.7	
T	-3.228702860	37.202984500	1339.0	
T	-3.147323540	33.507479840	1239.8	
T	-4.148730730	32.909034470	1207.6	
T	-8.950384420	33.232933620	1234.7	
T	-2.554989370	30.680344740	1494.4	
T	-3.304753070	36.989661530	1097.5	
T	-3.357655480	36.924137310	1241.5	
T	-10.323948240	38.986738620	367.9	
T	-10.598639780	39.270750730	718.7	
T	-10.796881920	35.720386010	906.7	
T	-9.216892380	32.915819300	1472.8	
T	-10.745117890	39.768710740	256.7	
T	-3.917762520	33.175995560	1123.8	
T	-8.917165080	34.568841700	1416.5	
T	-2.004985150	34.422111260	1388.5	
T	-7.012835290	39.079682160	110.8	
T	-11.171781170	37.692945030	452.3	
T	-4.157663330	32.576423400	1181.9	
T	-3.306263760	36.645426380	1559.3	
T	-4.154643900	33.292369930	1191.9	
T	-3.940642230	32.863076230	1208.8	
T	-11.120099850	38.096892180	322.3	
T	-2.885916240	34.099422400	1332.6	
T	-3.313078440	37.318274200	999.3	
T	-3.292049690	30.977650720	1196.1	
T	-10.262512760	35.631828680	924.0	
T	-6.420515090	35.868884130	1036.2	
T	-5.006000860	32.250878500	1132.9	
T	-2.515941040	33.124084440	1166.1	
T	-6.837573470	38.905892690	151.1	
T	-1.226152010	34.220550830	1374.1	
T	-5.572674110	30.386439480	1303.3	
T	-7.829372690	35.138085570	984.2	
T	-8.251953520	35.805794230	1996.1	
T	-6.230190360	37.569714270	370.2	
T	-8.090485590	36.703501760	279.6	
T	-5.062535170	38.549365390	305.5	
T	-11.312230170	34.819688240	500.5	
T	-4.775345530	33.701647010	1142.5	
T	-3.326115650	32.389409140	1227.1	
T	-6.608730880	38.342767960	169.5	
T	-3.122661460	33.964265800	1295.6	
T	-6.838678740	38.170852130	166.6	
T	-5.454937380	38.971915120	41.7	
T	-10.644731810	39.372160100	486.9	
T	-4.056225870	33.172833920	1140.4	
T	-9.313759930	34.140977610	2313.9	
T	-8.683641850	33.859513750	1072.1	
T	-1.737185930	31.523664370	1333.8	
T	-4.265227610	37.986359400	1437.4	
T	-1.868425890	34.676250910	1577.7	
T	-1.684767030	34.294611090	1259.2	
T	-5.625936900	32.752778460	1154.3	
T	-4.098920540	33.149292280	1169.3	
T	-4.868908200	38.362333930	1353.8	
T	-9.317901400	34.540443520	2165.6	
T	-4.244825770	37.896959270	1637.2	
T	-4.497700510	30.213242570	1319.4	
T	-9.059022350	34.634192410	1662.8	
T	-3.501139710	37.058763880	882.9	
T	-6.050936150	36.593414140	1169.2	
T	-5.885572341	35.149669124	843.0	
T	-8.986182620	33.646239500	2308.1	
T	-9.202934160	33.599504860	1388.7	
T	-3.392305020	37.467421360	803.3	
T	-9.156525520	34.922010360	1759.1	
T	-3.322191820	37.676519870	952.5	
T	-10.707610510	35.387506780	963.3	
T	-8.525037500	35.236593880	1862.3	
T	-4.090950920	34.330274030	1049.0	
T	-9.902535640	39.124795310	329.1	
T	-9.211349850	32.867450430	1505.0	
T	-7.951110400	38.989856010	33.3	
T	-3.831308380	33.809728910	1117.0	
T	-4.899232600	38.353069940	1280.5	
T	-10.947576510	35.002699200	1299.8	
T	-3.110789660	33.850644330	1304.3	
T	-2.764141030	37.044118540	1133.2	
T	-7.768651450	36.919080770	307.1	
T	-7.109858880	30.505971630	767.0	
T	-8.638300230	31.942558060	1531.8	
T	-3.316516970	36.837293120	1565.5	
T	-2.752359240	33.651630280	1237.1	
T	-9.391301710	33.048363150	1354.5	
T	-3.386653120	36.925035730	1155.9	
T	-6.285352890	35.899670390	1200.3	
T	-3.272894380	36.588266970	1626.4	
T	-4.073806670	33.531634850	1168.2	
T	-3.358379770	36.695896280	1444.0	
T	-7.796631770	36.899165690	340.5	
T	-3.079940020	37.623312630	1408.1	
T	-2.605952620	30.632421600	1418.8	
